uuid	text	subsection
f7838278-1021-4a60-bac0-04dca55101a4	Write a class with at least one `public` constructor.	8.3.3
49b7febf-e361-4a7e-92cb-f49dbf36c4e3	Write a counting loop	5.3.1
eed0d672-c325-43b4-bee8-11765ed54302	Write a filtering loop with an ArrayList (copying)	10.4.3
acf6fcdf-fd97-48e4-9c26-59653ad95652	Write a find index loop	6.3.3
eec94a13-b072-4718-a50b-2e037b87f85b	Write a finding loop	6.3.3
389dd5f9-4a16-4b6b-9429-7d76071acb01	Write a loop over all fixed-size substrings of a String	7.2.1
7d55aea0-2c46-47de-99ad-1065bee74520	Write a loop over all substrings of a String	7.2.1
6e4e4f01-2e0e-48ae-9fdf-6564e8d0b952	Write a loop over all the characters (as Strings) in a String	7.2.1
1adfdf73-109d-4f79-a26f-803035d8f16c	Write a loop to do something with the digits of an int.	5.3.4
a4233785-d24f-46f0-a281-a5912a0e0444	Write a loop to remove matching elements from ArrayList	10.4.1
b2966670-7f91-4ed5-bc87-738948815030	Write a loop to reverse a String	7.2.3
4f3404f2-f7ce-4332-816f-2c11010a92d6	Write a maximizing/minimizing loop	5.3.3
c3edbbac-dd79-4297-9fa0-fdc1d86e0b11	Write a recursive binary search	12.4.1
c0902251-4e08-4b1b-887f-43393659ae9d	Write a reducing loop	5.3.1
bef526f9-97d5-4374-9f95-8c80c237b9dd	Write a summing loop	5.3.1
c6ba53e5-860d-495e-a1a0-d73ffa817156	Write an all/every loop	6.3.4
d42c327b-63eb-4f50-9496-f4f492aa745c	Write an any/some loop	6.3.4
3ddedaa2-702d-498b-a7d3-40c3cc21c20f	Write an iterative binary search	12.1.3
1cb11bbb-d03c-4d93-bf43-80499e162124	Write arithmetic expressions that include variables	2.3.1
bd0ab275-edf3-4dfb-9ca2-97b259ee7a09	Write arithmetic expressions with Math.pow, Math.sqrt, and Math.abs	3.3.1
a2f029ef-80eb-4fa6-9e30-21583640270a	Write chained relational expressions with && as standard form	4.3.5
953f3365-b597-45c1-8f5e-b960bc75112e	Write code that builds up a String value with +=	7.1.1
8377675d-df43-4f6f-b647-c987cda92bc4	Write code that declares and uses static variables	9.3.2
adcdbf4a-89eb-4644-9ed0-624215b0109e	Write code that declares variables with array types	6.1.1
c2d7b9c8-20e4-4851-9c6b-ccfaa6aeec76	Write code that modifies mutable objects stored in an array.	6.1.4
5fa96a4e-6c22-4d67-aff5-d507146b747c	Write code that passes this as an argument	9.1.3
0d9de022-3a91-477e-b001-3f7c25f4ebff	Write code that reads user input with Scanner	2.2.5
7e2ce056-cc7a-452a-9396-7d310daf4d98	Write code that uses Double.parseDouble	11.2.3
34ef69de-7cad-45d5-bd4e-84c748e46693	Write code that uses Integer.parseInt	11.2.3
993d25cf-b0b4-4447-aca8-0a542f1882fa	Write code that uses Scanner with System.in	2.2.5
fa78c533-f027-4d2d-9300-f498b81061a3	Write code that uses String length	7.1.2
63897ba3-b9e0-4d4a-b268-96804b8a99c9	Write code that uses String.split to extract data	11.2.2
e0210d61-da38-47bc-85a8-709cd57366a7	Write code that uses `if`/`else if`/`else` chains to create multiway branches.	4.2.3
b523aa57-415e-412a-b19f-36239c372fdd	Write code that uses `if`/`else` statements to create two way branches.	4.2.2
7100e56c-fe0f-4e57-86cb-e0ee66072d92	Write code that uses a while loop	5.1.1
3d153afc-500e-4f55-a5e8-41192ce59218	Write code that uses all the standard loop algorithms with ArrayLists	10.3.1
c4d7feec-0065-4eca-a439-32e4d01ce98d	Write code that uses both 1-arg and 2-arg substring	7.1.4
7bde64be-c301-4299-b510-5210172560e3	Write code that uses compareTo	7.1.5
cbba7eb7-b718-404d-8b41-f5daa1ea438a	Write code that uses enhanced for loops with ArrayLists	10.3.2
6ca042d3-d7b8-4afe-a40e-615a740bdb08	Write code that uses indexOf with substring to extract parts	7.1.4
6887a13e-97b9-40eb-81ec-c0d4cf0fecd7	Write code that uses string + with non-String values.	2.2.3
adbc2a75-43f4-4aaa-998b-dce0186c0b0e	Write code that uses string concatenation with +	2.2.3
94fbea0a-df96-48c1-8305-176d90120069	Write code that uses strong literals.	2.2.2
f6cfcc43-c108-47e5-af2e-3c1e1f2c033c	Write code that uses the length property of an array	6.1.3
d3d37147-b4d5-433f-a030-66e4f4593c4a	Write code that uses variables of type String	2.2.2
5d01e79a-4151-4866-a156-255091245013	Write code to access elements of arrays	6.1.4
b263f73a-87c5-40a4-8023-bf437d9d96ec	Write code to access individual elements of a 2D array	6.4.3
cbf19072-c507-4d41-b497-dad0d8a2120f	Write code to access individual rows of a 2D array	6.4.3
f6387f15-724b-4a37-b59f-d03fd7cf667c	Write code to apply a linear search over a 2d array, row by row and then column by column.	12.1.2
d68a8ef4-5121-4f80-8a8c-fcdfeb2f5eeb	Write code to call instance methods	8.4.1
9cab2c7f-2922-46bc-9926-b80c86cfc2e0	Write code to call static methods	9.3.1
31ef2db3-cbca-4df4-a444-1e590a9f8765	Write code to close a Scanner.	11.1.1
5f915536-0b40-4dd8-9ee9-91900c1a3548	Write code to construct a `File` object.	11.1.1
4227080f-13f0-49ab-b999-8c37a9977e4f	Write code to construct an ArrayList with <>	10.1.3
d8dba558-f3ea-4a32-a0a6-c5835ec40c7c	Write code to create an array with an array creation expression	6.1.2
4d8d24af-0290-4852-8a1c-e16e4b9fa12f	Write code to declare a `public` class.	8.1.1
14a9e7e2-bc59-487f-a3c0-b38870050cba	Write code to declare an ArrayList of type T	10.1.2
959a02e6-3b27-4ad6-9da2-098cc79e93af	Write code to declare and initialize an array with an array initializer	6.1.2
23c9ce34-caa8-4d40-9085-e0aaf04613b6	Write code to detect duplicate elements in an array	6.3.5
58fd2cd5-a543-4aa5-bf1d-f2021cedaaff	Write code to extract a one-character string at an index	7.1.4
735b058a-b8a2-4b96-8bba-60081d9a6a90	Write code to generate output with print and println	2.2.1
6d700155-72d5-4e11-b550-a8b8a38bcc59	Write code to initialize a 2D array variable with given dimensions	6.4.2
7a20ade3-25d9-4bf2-a02a-e503969faa37	Write code to initialize a 2D array with an array initializer	6.4.2
93e07719-56ae-4ffc-bef0-5f5718e6b56d	Write code to process all elements of a 2D array w/ enhanced for loops	6.5.2
733b725c-4d42-4f05-9695-e79161b2c224	Write code to process all elements of a 2D array w/ regular for loops	6.5.1
719b1a34-eb83-4eb0-9a23-c7feb28168ed	Write code to process all pairs of elements in an array, ordered	6.3.5
f087a331-ec11-4b7c-a4fa-c0041554a439	Write code to process all pairs of elements in an array, unordered	6.3.5
9dd34095-a834-4241-bdc9-8d7b22339684	Write code to process cells and their neighbors in a 2D array	6.5.1
6bb0123a-2f8a-43c2-8953-cccd40237850	Write code to process consecutive pairs of elements in an array	6.3.5
c57f6798-0a7b-4e1c-90f9-d24adcd65817	Write code to produce various summary statistics of a data set	11.2.1
7d475d4e-874e-41cc-bb3d-ac89ccaf4e98	Write code to read data with File and Scanner	11.1.1
423fcaa6-1190-40e6-bce9-c0579f58c167	Write code to remove elements from an ArrayList	10.4.1
c93988dc-7ff5-44e5-a5df-6ae2cf834564	Write code to reverse the elements in an array	6.3.7
d4cbd23c-652d-4acd-a7ae-387b31a0b7b9	Write code to rotate elements one position left or right	6.3.6
72e68860-5ea6-4e9d-b2ef-eaf5c6682da8	Write code to test if a number (incl negative) is odd	4.3.2
45258d79-fb8e-4b71-a0ef-015b214921b5	Write code to test if a number is even	4.3.2
cab796ae-54fa-4e72-a580-3094c3887fdc	Write code to traverse an array.	6.2.1
a809273f-defe-485d-a047-f2f9641093a3	Write code to traverse multiple Strings, arrays, or ArrayLists in parallel	10.4.5
1c9c9436-3b9c-4b18-9177-e2c4db4f562f	Write code using += with ints and Strings.	2.4.3
ba96b284-8f3e-4570-8802-bc690a016bce	Write code using all the standard looping patterns over an array	6.2.3
ddb7262e-ac0a-4e1b-bfd3-2a4e9122fa69	Write code using standard loop algorithms over all elements of 2D array	6.5.1
474d9abf-f816-44ae-ad17-d10fb3092da3	Write code using standard loop algorithms over rows & columns of 2D array	6.5.1
b306f6dd-f43d-4078-9e4a-ede41bd6f085	Write comments documenting a method's pre- and post-conditions.	13.2.2
f0f814d7-5566-40a6-a793-4c78e31b0225	Write constructors that use the this. idiom.	8.3.3
bb406397-21d0-445a-bdf0-5a4abe93b455	Write correct calls to a method given its signature	3.1.2
0a1abe67-cf53-490a-905e-e3d07458a317	Write correct calls to a static method from inside the class.	9.3.1
fc34fcf4-587c-4764-83a6-ecadf0f2d348	Write correct calls to a static method from outside the class.	9.3.1
a28330b3-6b85-4f6b-b1ea-7421f74cf938	Write correct calls to instance methods on specific object	8.4.1
b8d83981-ab4d-4684-b42a-3a445a7fa2bb	Write correct calls to instance methods with implicit this.	8.4.1
20986aef-3a55-48a7-a451-16934698b316	Write correct calls to static & instance methods based on signatures.	9.3.1
925a5d29-c6c2-4d72-91f0-390ec44b2c0f	Write correct invocations of a constructor with new	8.3.3
aa85cfb3-ac83-489f-b718-b04877e65452	Write correct method signatures given a name, return type, and arg types	3.1.1
d9e7d50f-26ea-494e-b5f5-df68d4a560c3	Write correct overriding to String methods.	8.4.3
c37ea379-82f3-4187-b789-cb623c34a122	Write enhanced for loops to traverse a 1-d array	6.2.2
002c974e-4182-4579-8c1c-2e06bbda0326	Write expressions to generate random numbers from a speci	3.3.2
5051e7b0-a644-45f2-a668-ff3eb4e264b2	Write expressions to round doubles to nearest int w/o Math.round	2.5.3
369fbb3c-0ca3-4c90-aef4-3564819f6545	Write expressions using %	2.3.2
32e8671d-0213-4b34-bf07-ca067bc20745	Write expressions using +, -, *, and /	2.3.1
15d579c5-5647-406a-a05c-676605dfbf0f	Write expressions using Math.random() to generate random numbers	3.3.2
c2200661-11df-47c1-ae40-f233709ecdc3	Write expressions using arithmetic operators obeying precedence	2.3.4
68106b9a-dfaf-4767-b01d-51a80595ed88	Write expressions using relational operators with `int`s and `double`s	4.3.1
3071efa1-5290-4474-a4ee-a815c376f5b3	Write expressions using the relational operators <, >, <=, >=	4.3.1
ca386b5b-7a47-4436-8a9a-bb5fed049c58	Write for loops that modify array elements.	6.2.1
c6b84d1b-0762-48aa-ac65-ac4e0654d101	Write getters & setters (accessors & mutators)	8.4.2
45a40929-7d8f-4d12-bd99-203d2b75a8ff	Write if statements that use Math.random() to execute code with probability	4.3.3
93abd1b8-cff0-4ca7-8bfa-d84b0cd014e1	Write insertion sort.	12.2.2
d60ca895-44a6-46a6-92b1-d3ac66088ab9	Write merge sort	12.4.2
5cb2b629-9093-47cb-87f1-78de5c092b93	Write methods that modify a mutable argument	9.1.2
7ad90f11-173f-4aa2-8661-9a4cb6ce908b	Write methods that modify a passed in array.	6.1.5
bbe7cc03-7675-4ad7-9e84-aa9c45645d28	Write methods that modify an array held in an instance variable	8.4.4
88793d3d-20b6-48e7-83f2-ec681e7eea8e	Write methods that take arguments that they used to compute their result or to have the desired side effects.	3.1.5
20ebb510-3781-4a72-a4e0-a099e47d5987	Write methods within a class that access `private` instance variables on multiple instances of the class.	9.1.5
f092c747-a948-4d6b-9880-07f3a7665811	Write multi-way selections with if/else if/else	4.2.3
a68e7001-03fa-4b58-b840-d300de8b7fcb	Write non-void methods that compute values.	3.1.7
6157f04d-0a0c-425d-a9d4-2b448dd97385	Write non-void methods that return values computed by arbitrary expressons.	3.1.7
0a44f60c-8c8a-4aa3-878b-ccf230633a10	Write one-way selections with if	4.2.1
c843d2a5-113c-42e8-abf2-1cc26244424e	Write overloaded constructors that use this()	8.3.4
d2c85272-cb3d-44cd-9cbf-0c7118fb0aa8	Write recursive methods over ints, Strings, arrays, and ArrayLists	12.3.3
899abfa9-cf78-4be1-989a-46f649d8d6cb	Write regular for loops to traverse arrays	6.2.1
7b9697c5-a876-4f45-96f4-5ca26f156571	Write selection sort.	12.2.1
e9f80d45-c7e9-49b6-9582-e5d458f66dec	Write static methods that access static member variables.	9.3.2
40d8b99e-4324-461e-8a02-23bc81078bdf	Write static methods that call other static methods.	3.1.5
f057a634-a914-4c1c-92de-3b90c65784b0	Write string literals with escape characters	2.2.4
49c81612-d043-47c9-85c0-d9a704c7e16b	Write two-way selections with if/else	4.2.2
d053b062-2114-4d6a-be03-03bc617fbbd0	Write void methods that have external side effects	3.1.4
0d0b4211-04ff-4dbe-9566-c0a7db853579	Write void methods that have internal side effects	8.4.4
